ID;C1;C2;R1;R2;R3;R4;R5;R6;R7;M1;M2
320;9357;5262;1344;1077;1757;1984;3144;565;4548;4965;593
321;9638;5195;1372;571;1947;2162;3324;386;4949;5328;651
322;9293;5045;1308;331;2011;2391;3267;245;5059;5659;654
323;9620;5270;1519;55;2264;2585;3504;198;5206;6187;729
324;9774;5203;1409;74;2446;2653;3902;188;5365;6165;831
325;10009;5390;1372;74;2772;2672;4195;254;5138;5840;875
326;9185;2451;1151;55;3252;2647;4280;292;4638;5579;928
327;8841;3995;1400;55;3243;2531;4129;876;4589;5045;862
328;9149;5482;1980;147;3089;2402;4167;1497;4201;5360;898
329;9819;6806;2532;387;3496;2476;4905;2213;4160;5451;832
330;10100;7621;2587;451;3397;2204;4905;2505;4037;5904;732
331;10752;8289;2468;534;3279;1986;5218;2316;3980;6384;676
332;11830;8699;2505;746;3306;1883;5436;2580;3870;6677;532
333;12862;8232;2339;1013;3252;1989;5294;2599;4657;6875;434
334;15118;6842;1888;893;3551;2178;5805;2576;5984;6811;496
335;17237;6463;2431;958;3659;2149;5549;2552;6005;7200;580
336;14982;5259;2164;1492;3813;2123;4508;2737;5976;6832;517
337;13243;2432;2330;1897;4837;2071;2254;3497;4835;5387;544
338;12056;3677;2572;2109;3986;1940;1241;3644;4003;4320;561
339;11839;4339;2495;2228;4167;1962;1591;3839;3950;3779;667
340;10317;4163;1989;2541;3270;1857;1498;3601;3903;3587;743
341;10634;4289;589;2965;3379;1996;2424;3159;4147;3995;720
342;9592;4675;479;3011;3397;2137;3030;2074;4350;4624;781
343;10208;4682;285;2643;2917;2175;3570;875;4409;5131;801
344;10172;4469;230;1501;3397;2216;3494;339;4333;5019;928
345;8931;4203;341;506;3333;2194;3807;163;4305;5072;977
346;9022;4126;350;203;3750;2136;3655;56;4150;5088;1055
347;8986;4155;516;92;3804;2279;4252;111;4264;5536;1066
348;9176;3575;387;37;3333;2128;4299;95;4165;5147;1243
349;8705;3440;488;120;3922;2209;4706;66;3553;4597;1181
350;8986;1912;839;92;3804;2180;4811;56;3148;4128;1290
351;8342;2883;1427;64;3641;2278;4299;1384;3282;3621;1370
352;7210;3625;1354;350;3723;2274;4233;2608;3228;3995;1148
353;6703;3821;1602;442;3406;2360;4375;2947;3217;3973;1191
354;6676;4052;1602;368;3315;2433;4924;2712;3389;4051;1056
355;6830;4376;1289;580;3723;2310;4489;3616;3421;4291;967
356;7853;4690;1298;746;3424;2392;4195;3380;3542;4507;861
357;9882;5032;1565;838;3433;2497;3987;3399;3560;5104;790
358;13297;5303;1483;810;3986;2643;4025;3503;3930;5712;786
359;16667;5150;1722;847;3333;2714;4441;3614;4132;6549;735
360;19022;5106;1510;948;3143;2737;4706;3742;4572;7083;726
361;19683;3599;1750;875;3397;2739;4669;4200;4544;7461;711
362;19402;2317;1584;1050;4013;2747;4905;4284;2730;5349;670
363;17101;3315;1547;1464;3659;2571;5208;4463;3111;2635;655
364;14520;4129;1774;1685;3252;2545;4394;4218;3410;3275;623
365;11884;4387;2035;1768;1313;2545;4015;3550;3448;4189;622
366;10707;4334;2661;1786;507;2454;3864;3305;3761;4005;640
367;10553;2816;3361;1740;154;2369;4223;2326;2788;4219;600
368;11513;3263;3780;1878;145;2215;3674;1235;3302;3419;602
